,,Redzes uzman?ba (pap?ra versija),,
,,TMT A,TMT B,
Dzimums,V?rdi/min R,"L(sek) P, A","L(sek) P, B",Vecums  
V,178.64,,,17
S,131.75,,,17
V,128.06,,,18
V,139.21,,,18
S,153.60,,,18
S,179.10,,,17
S,140.69,,,18
S,176.75,,,18
S,104.87,,,8
S,115.59,,,8
V,66.46,,,8
S,47.03,,,8
V,27.97,,,8
V,79.82,,,8
S,48.28,,,8
S,64.21,,,8
V,46.89,,,8
S,72.98,,,8
S,89.23,,,8
S,108.60,,,8
S,34.84,,,8
V,69.14,,,8
V,23.64,70,235,8
V,125.00,39,236,8
V,50.85,49,144,8
V,120.00,43,,8
S,47.14,48,167,8
V,68.94,50,,8
S,53.57,78,238,8
S,73.17,71,,8
V,54.55,,,8
V,60.00,51,,9
S,41.25,70,,8
V,60.00,58,,8
S,82.50,59,122,12
S,166.67,78,243,8
V,103.13,65,132,7
S,83.27,,,9
S,86.37,,,9
S,116.52,,,9
S,103.08,,,9
V,94.70,,,9
V,121.79,,,9
V,148.30,,,9
V,59.55,,,9
S,156.00,,,9
V,25.38,70,,9
S,85.09,45,110,9
V,96.14,56,212,8
S,75.29,57,123,9
S,96.87,52,123,9
V,117.00,54,94,9
S,93.75,48,96,8
S,107.14,66,173,9
S,63.45,,,9
S,62.56,,,9
S,61.44,,,8
S,121.52,,,9
S,93.48,,,9
V,87.58,,,9
S,55.24,,,9
S,88.26,,,9
S,137.08,,,9
V,41.05,56,196,11
V,66.86,35,135,10
S,154.80,34,74,10
S,144.44,32,66,11
S,150.58,29,122,10
V,81.10,,,10
V,91.76,,,11
S,89.66,,,10
S,140.73,,,10
S,84.52,,,10
S,136.84,,,11
V,72.90,,,11
V,95.12,,,10
V,76.47,,,10
V,63.50,,,10
S,87.59,,,10
V,99.58,,,10
S,107.93,,,9
V,95.88,,,10
V,44.10,,,10
S,150.64,,,10
S,162.00,36,154,11
V,108.49,57,107,11
V,127.06,48,109,11
V,88.97,37,114,11
V,80.65,38,148,10
S,124.84,40,80,11
S,100.52,48,103,11
V,131.58,32,79,11
S,110.70,44,83,11
S,109.86,22,60,11
S,93.59,49,108,11
S,71.36,21,51,11
S,106.22,31,75,11
S,121.68,51,69,11
S,128.04,,,11
S,118.05,,,11
V,88.74,,,11
S,115.92,,,11
V,129.75,,,11
V,129.02,,,11
v,,55,,12
S,127.30,,,11
V,90.05,,,11
S,97.42,,,11
V,163.04,25,73,12
S,63.46,44,148,12
V,106.85,41,,12
S,168.26,40,68,12
S,119.08,30,119,12
S,96.30,35,81,12
V,96.59,45,203,12
S,154.80,43,95,12
V,132.41,32,115,8
S,141.82,34,66,12
V,110.48,32,61,12
V,117.82,52,258,12
S,97.01,41,141,12
S,185.71,38,45,12
V,135.79,45,70,12
S,124.58,,,12
V,71.47,,,12
V,150.86,,,12
S,149.80,,,12
S,129.16,,,12
S,139.46,,,12
S,130.15,,,12
V,127.16,,,12
S,133.84,,,12
S,89.13,,,12
V,95.66,,,12
S,157.96,,,12
V,84.12,,,12
S,101.00,,,12
V,155.45,,,11
